Table 1
Id,Name,image_url,description,info_url,,
11,Walleye,https://cpw.state.co.us/PublishingImages/Fishing/SpeciesID/Walleye_JosephTomerelli.jpg,You can identify walleye by looking for their two separate dorsal fins and a white tipped tail. Adults feed entirely on other fish and are most often caught by slowly cranking jigs and spinners over bottom structures.,https://en.wikipedia.org/wiki/Walleye,,
12,Saugeye,https://cpw.state.co.us/PublishingImages/Fishing/SpeciesID/Saugeye_JosephTomerelli.jpg,"Saugeye can be distinguished from walleyes by black mottling marks on their bodies, tails that do not have a white tip and black pigmentation in between dorsal spines. Anglers have luck catching saugeye by trolling live bait or slowly retrieving jigs over bottom humps and points.",https://en.wikipedia.org/wiki/Sauger,,
13,Yellow Perch,https://cpw.state.co.us/PublishingImages/Fishing/SpeciesID/YellowPerch_JosephTomerelli.jpg,"Yellow perch have two separate dorsal fins with large vertical dark stripes on their yellowish sides. These fish can be found in large schools and are caught by using bait or small spinners. Yellow perch are usually less than one pound, but can be found over two pounds in some waters.",https://en.wikipedia.org/wiki/Yellow_perch,,
14,Channel Catfish,https://cpw.state.co.us/PublishingImages/Fishing/SpeciesID/ChannelCatfish_JosephTomerelli.jpg,"These fish are easily identified by their barbels (whiskers), forked tail and sporadic black spotting. Night fishing with live bait, chicken innards, flavored dough balls, or any other smelly concoction provides the best angling success. ",https://en.wikipedia.org/wiki/Channel_catfish,,
15,Smallmouth Bass,https://cpw.state.co.us/PublishingImages/Fishing/SpeciesID/SmallMouthBass_JosephTomerelli.jpg,"The best way to distinguish the smallmouth from its cousin, the largemouth bass, is by the \“smallies\” jaws that does not extend beyond the eye. They maintain broken vertical lines on their sides and many have a reddish eye. Smallies are frequently caught along rip-rap shorelines with small jigs or crayfish imitations",https://en.wikipedia.org/wiki/Smallmouth_bass,,
16,Largemouth Bass,https://cpw.state.co.us/PublishingImages/Fishing/SpeciesID/LargeMouth_JosephTomerelli.jpg,This fish has a very big mouth and its jaw extends past the eye. You can also distinguish them as the bass with the horizontal stripe on their body. Casting lures and plugs during dawn and dusk hours around cattails and sunken logs will give you the best chance to land one of the lunkers.,https://en.wikipedia.org/wiki/Largemouth_bass,,
17,Tiger Muskie (Muskellunge),https://cpw.state.co.us/PublishingImages/Fishing/SpeciesID/TigerMuskie_JosephTomerelli.jpg,"Their long snout filled with teeth and dark tiger striped sides on a light body make them easy to identify. The best opportunity to catch a tiger muskie would be by throwing large lures over vegetation during the summer. Northern pike look like tiger muskie, but have whitish irregular chain markings on a dark body.",https://en.wikipedia.org/wiki/Tiger_muskellunge,,
18,Black Crappie,https://cpw.state.co.us/PublishingImages/Fishing/SpeciesID/BlackCrappie_JosephTomerelli.jpg,"Crappie are a pan-shaped fish with black splotches on a silver background, whose dorsal spines and rays get longer as they approach the tail. Crappie are a schooling fish that often congregate around vertical structures. Anglers have the most success for crappies jigging by structure in the early spring. ",https://en.wikipedia.org/wiki/Black_crappie,,
19,Bluegill,https://cpw.state.co.us/PublishingImages/Fishing/SpeciesID/BlueGill_JosephTomerelli.jpg,"The bluegill has a small mouth on a short head and a dark gill flap with no trim. There are parallel vertical bars on the side with long, pointed pectoral (side) fins. A male bluegill in breeding colors has brilliant blue fins and a red-orange stomach. The female bluegill is dark on the back with vertical stripes on the body. Bluegills are best caught in the morning or evening using small tackle ranging from a bobber and worm to delicate dry flies.",https://en.wikipedia.org/wiki/Bluegill,,
20,Green Sunfish,https://cpw.state.co.us/PublishingImages/Fishing/SpeciesID/GreenSunfish_JosephTomerelli.jpg,"This fish is similar in appearance to the bluegill, but has a larger mouth and is olive in color with short, rounded pectoral fins and yellow trim on the fins. This stocky fish is found in both streams and impoundments and spawns in shallow areas from June to mid-August. Like most sunfish, this sporty panfish can be taken with crickets, worms, and other bait rigged under a bobber, or with small lures, jigs, and flies.",https://en.wikipedia.org/wiki/Green_sunfish,,
21,Colorado Pikeminnow (Protected),https://cpw.state.co.us/PublishingImages/Fishing/SpeciesID/Pikeminnow_JosephTomerelli_low.jpg,"Protected fish. The Colorado pikeminnow is the largest minnow in North America and is an endangered, native fish of the Colorado River thought to have evolved more than 3 million years ago. 

Called the \“white salmon\” by early settlers due to its migratory behavior, the Colorado pikeminnow has a torpedo-shaped body and a large, toothless mouth. It has an olive-green and gold back and a silvery-white belly. ",https://en.wikipedia.org/wiki/Colorado_pikeminnow,,
22,Humpback Chub (Protected),https://cpw.state.co.us/PublishingImages/Fishing/SpeciesID/Humpback_JosephTomerelli_low.jpg,"Protected fish. The humpback chub is a remarkable member of the minnow family that is green to silver and white with an abrupt hump behind the head. They grow to about 18 inches in length.

",https://en.wikipedia.org/wiki/Humpback_chub,,
23,Razorback Sucker (Protected),https://cpw.state.co.us/PublishingImages/Fishing/SpeciesID/RazorBack_JosephTomerelli_low.jpg,"Protected fish. The razorback sucker is a large, bronze to yellow fish that grows to a weight of about 15 pounds and has a sharp-edged keel behind the head. Breeding males turn gray-black with a bright orange belly.",https://en.wikipedia.org/wiki/Razorback_sucker,,
,,,,,,
